Requirement,UAV,Step,CommunicationCost,ComputationCost,AccuracyMetric
Low,UAV6,1,0,5091.66666666667,19.858973159076
Low,UAV6,2,576,5091.66666666667,19.858973159076
Low,UAV13,1,0,5091.66666666667,19.8588468281081
Low,UAV13,2,768,5091.66666666667,19.8588468281081
Low,UAV14,1,0,5091.66666666667,19.8588242616534
Low,UAV14,2,768,5091.66666666667,19.8588242616534
Low,UAV20,1,0,5091.66666666667,19.858851499404
Low,UAV20,2,576,5091.66666666667,19.858851499404
Low,UAV25,1,0,5091.66666666667,19.85892570471
Low,UAV25,2,384,5091.66666666667,19.85892570471
Medium,UAV6,1,0,5091.66666666667,19.858973159076
Medium,UAV6,2,600,28634.3333333333,11.320742202269
Medium,UAV6,3,792,28634.3333333333,11.320742202269
Medium,UAV13,1,0,5091.66666666667,19.8588468281081
Medium,UAV13,2,800,56805,12.7430476478288
Medium,UAV13,3,1184,56805,12.7430476478288
Medium,UAV14,1,0,5091.66666666667,19.8588242616534
Medium,UAV14,2,672,28634.3333333333,12.153537674293
Medium,UAV14,3,960,28634.3333333333,12.153537674293
Medium,UAV20,1,0,5091.66666666667,19.858851499404
Medium,UAV20,2,600,28634.3333333333,10.7243275308646
Medium,UAV20,3,984,28634.3333333333,10.7243275308646
Medium,UAV25,1,0,5091.66666666667,19.85892570471
Medium,UAV25,2,392,14409,11.824291347269
Medium,UAV25,3,680,14409,11.824291347269
High,UAV6,1,0,5091.66666666667,19.858973159076
High,UAV6,2,504,33837,10.4378597043147
High,UAV6,3,504,33837,10.2252438395475
High,UAV6,4,888,33837,10.2252438395475
High,UAV13,1,0,5091.66666666667,19.8588468281081
High,UAV13,2,848,210085.666666667,10.2439747201228
High,UAV13,3,848,210085.666666667,10.2439747201228
High,UAV13,4,1616,210085.666666667,10.2439747201228
High,UAV14,1,0,5091.66666666667,19.8588242616534
High,UAV14,2,848,228430.333333333,10.7939691182096
High,UAV14,3,952,268617.666666667,9.64593588370343
High,UAV14,4,1432,268617.666666667,9.64593588370343
High,UAV20,1,0,5091.66666666667,19.858851499404
High,UAV20,2,616,70444.3333333333,9.87705574306661
High,UAV20,3,624,70444.3333333333,8.15195397505532
High,UAV20,4,912,70444.3333333333,8.15195397505532
High,UAV25,1,0,5091.66666666667,19.85892570471
High,UAV25,2,416,18915,10.7100059683909
High,UAV25,3,536,42457.6666666667,9.76940871232014
High,UAV25,4,1304,42457.6666666667,9.76940871232014
Very High,UAV6,1,0,5091.66666666667,19.858973159076
Very High,UAV6,2,608,33837,10.1474329712514
Very High,UAV6,3,816,57379.6666666667,10.1474329712514
Very High,UAV6,4,1512,233926.666666667,9.55986876848456
Very High,UAV6,5,2184,233926.666666667,9.55986876848456
Very High,UAV13,1,0,5091.66666666667,19.8588468281081
Very High,UAV13,2,848,537945,10.2305766764368
Very High,UAV13,3,1496,826772.333333333,8.1612325203408
Very High,UAV13,4,1496,826772.333333333,8.1612325203408
Very High,UAV13,5,2552,826772.333333333,8.1612325203408
Very High,UAV14,1,0,5091.66666666667,19.8588242616534
Very High,UAV14,2,728,39567.6666666667,11.2352081955859
Very High,UAV14,3,848,83438.3333333333,7.28349641171496
Very High,UAV14,4,968,83438.3333333333,7.28349641171496
Very High,UAV14,5,1448,83438.3333333333,7.28349641171496
Very High,UAV20,1,0,5091.66666666667,19.858851499404
Very High,UAV20,2,624,79467,9.86905401750283
Very High,UAV20,3,1408,237509.333333333,8.14647738788662
Very High,UAV20,4,1408,237509.333333333,7.2808534232365
Very High,UAV20,5,1696,237509.333333333,7.2808534232365
Very High,UAV25,1,0,5091.66666666667,19.85892570471
Very High,UAV25,2,424,17313.6666666667,10.7124396572396
Very High,UAV25,3,752,188607,9.76332485555518
Very High,UAV25,4,992,671463.666666667,9.35448434126099
Very High,UAV25,5,1568,671463.666666667,9.35448434126099
